id,name,shortName,relativeSpeed,rainEnabled,carIds
2706,Dirt Big Block Modified,Dirt BB Modified,65,false,131
2707,Dirt 358 Modified,Dirt 358 Mod,60,false,134
2708,GT3 Class,GT3 Class,52,true,132|133|156|169|173|176|184|185|188|194|206
2709,GTD Class,GTD Class,52,true,132|133|169
2742,BMW M4 GT3 EVO,BMW M4 GT3 EVO,52,true,132
2916,McLaren 570S GT4,McLaren 570S GT4,49,true,135
2936,GT3 Nurb 2,GT3 Nurb 2,52,false,72|73|132
2937,GT3 Class 4,GT3 Class 4,52,false,94|132|133
2974,GT4 Nurb,GT4 Nurb,49,true,119|122
2975,Chevrolet Camaro ZL1 - NextGen,Camaro ZL1 NGC,81,false,139
2976,Ford Mustang - NextGen,Mustang NGC,81,false,140
2977,Toyota Camry - NextGen,Toyota NGC,81,false,141
2978,NASCAR 2022 NextGen,NASCAR 2022 NG,81,false,139|140|141
3000,[Legacy] Porsche 911 GT3 R,[L] Porsche911,50,false,137
3001,VW Beetle Lite,VW Beetle Lite,40,false,138
3002,Formula Vee - Classic,FVee - Classic,20,true,142
3022,GT3 Class 5,GT3 Class 5,52,false,132|133|137
3104,Porsche 911 GT3 Cup (992),Porsche 992,51,true,143
3105,Ferrari 488 GT3 Evo 2020,Ferrari Evo GT3,52,false,144
3185,Mercedes-AMG W12 E Performance,AMG W12 E,220,false,145
3186,Hyundai Elantra N TCR,Elantra N TC,45,true,146
3187,Honda Civic Type R TCR,Civic Type R,45,true,147
3188,FIA F4,FIA F4,47,true,148
3189,Touring Car,Touring Car,45,true,146|147|153|210
3190,IMSA22,IMSA22,52,false,43|73|132|133|137|144|156
3239,Aston Martin Vantage GT4,Aston Martin GT4,49,true,150
3240,Stock Car Brasil Chevrolet Cruze,Chevrolet Cruze,65,false,151
3241,Stock Car Brasil Toyota Corolla,Toyota Corolla,65,false,152
3242,Hyundai Veloster N TCR,Veloster N TC,45,true,153
3243,NASCAR Legends Buick LeSabre 1987,Buick LeSabre 87,50,false,154
3244,Toyota Tundra TRD Pro,Tundra TRD Pro,60,false,155
3245,Stock Car Brasil,Stock Car Brasil,65,false,151|152
3283,Radical SR10,Radical SR10,80,false,149
4000,Mercedes-AMG GT3 2020,AMG GT3 2020,52,true,156
4001,Nurburgring 2022 GT3,Nurb22 GT3,52,false,72|132|137
4002,Nurburgring 2022 GT4,Nurb22 GT4,49,true,122|150
4003,Nurburgring 2022 Touring,Nurb22 Touring,45,true,112|153
4004,Mercedes-AMG GT4,AMG GT4,49,true,157
4005,NECGT3,NECGT3,52,true,132|156
4006,NECGT4 Class,NECGT4 Class,49,true,119|150
4007,NECTCR Class,NECTCR Class,45,true,112|146
4008,IMPCGT4 Class,IMPCGT4 Class,49,true,119|122|135|150|157
4009,Porsche Mission R,Porsche MissionR,70,false,158
4010,BMW M Hybrid V8 (Evo),BMW M Hybrid V8,165,true,159
4011,IMSA23,IMSA23,52,true,132|133|156|169|173|184|185|188|194|206
4012,Toyota GR86,Toyota GR86,38,true,160
4013,Mercedes-AMG W13 E Performance,Mercedes-AMG W13,219,false,161
4014,RoarTouringCar,RoarTouringCar,45,true,112|146|147
4015,Renault Clio,Renault Clio,37,true,162
4016,Ray FF1600,Ray FF1600,43,true,163
4017,Late Model Stock,Late Model Stock,51,false,164
4018,Ligier JS P320,Ligier JS P320,72,true,165
4020,Crev23,Crev23,45,true,146|147
4021,[Legacy] Gen 4 Cup,[L] Gen 4 Cup,83,false,167
4022,NECGT323,NECGT323,52,true,132|156|169|173
4023,NECGT423,NECGT423,49,true,119|122|150
4024,Cadillac V-Series.R GTP,Cadillac VSRGTP,165,true,168
4025,Porsche 911 GT3 R (992),Porsche 992GT3R,52,true,169
4029,GTP,GTP,179,true,159|168|170|174|196
4031,Acura ARX-06 GTP,Acura ARX-06 GTP,165,true,170
4032,Super Formula SF23 - Toyota,Super SF23T,160,true,171
4033,Super Formula SF23,Super SF23,160,true,171|172
4034,Super Formula SF23 - Honda,Super SF23H,160,true,172
4035,Ring Meister 2023,RingMeister23,52,true,156
4036,Ferrari 296 GT3,Ferrari 296 GT3,52,true,173
4037,Porsche 963 GTP,Porsche 963 GTP,165,true,174
4038,NASCAR Legends Pontiac Grand Prix - 1987,Pontiac GP 1987,50,false,175
4039,Ring Meister 2023S4,RingMeister23S4,56,true,42
4040,Draft Master,DraftMaster,52,false,139|140|141|201|202|211
4042,Shiny New Shakedown 2023 S4,Shiny 2023S4,50,true,150
4043,French Connection 2023 S4,French Co 2023S4,50,true,5
4044,Shake Up 2023 S4,Shake Up 2023S4,50,false,80
4046,Audi R8 LMS EVO II GT3,Audi R8 EVO2 GT3,52,true,176
4048,Ring Meister,RingMeister,52,false,40|44|76|106|112|146|147|149|153|160|203|204|205|206|208|213
4049,Super Formula Lights,SF Lights,95,true,178
4050,SRX,SRX,47,false,179
4051,Millbridge23,Millbridge23,40,false,183
4052,Dirt Micro Sprint Car - Winged,DMS Winged,42,false,180
4053,Dirt Micro Sprint Car - Non-Winged,DMS Non-Winged,32,false,181
4055,NECGT324,NECGT324,52,true,132|133|156|169|173|176
4056,NECGT424,NECGT424,49,true,119|150|157|189
4057,NECTCR24,NECTCR24,45,true,146|147
4058,Dirt Outlaw Micro Sprint Car - Winged,Outlaw - Winged,45,false,182
4059,Dirt Outlaw Micro Sprint Car - Non-Winged,Outlaw NonWinged,35,false,183
4060,Chevrolet Corvette Z06 GT3.R,Corvette Z06GT3R,52,true,184
4061,Ford Mustang GT3,Ford Mustang GT3,52,true,185
4062,Street Stock - Casino M2,StreetStock CM2,45,false,186
4063,Street Stock - Eagle T3,StreetStock ET3,45,false,187
4064,Street Stocks,Street Stocks,45,false,36|186|187
4066,McLaren 720S GT3 EVO,720S EVO GT3,52,true,188
4067,BMW M4 G82 GT4,BMW M4 EVO GT4,49,true,189
4068,Supercars Ford Mustang Gen 3,Mustang Gen 3,75,true,190
4069,Mini Stock,Mini Stock,100,false,191
4070,Supercars Chevrolet Camaro Gen 3,Camaro Gen 3,75,true,192
4071,Dirt Mini Stock,Dirt Mini Stock,40,false,193
4072,Acura NSX GT3 EVO 22,NSX GT3 EVO22,52,true,194
4073,BMW M2 CS Racing (F87) - 2020,BMW M2 CS Racing,42,true,195
4074,Ferrari 499P,Ferrari 499P,165,true,196
4075,WoO Pro Series,WoO Pro Series,95,false,84
4076,Supercars Gen 3,Supercars Gen 3,75,true,190|192
4077,ARCA Chevrolet SS,ARCA Chevy SS,53,false,198
4078,ARCA Ford Mustang,ARCA Mustang,53,false,199
4079,ARCA Toyota Camry,ARCA Camry,53,false,200
4080,Gen 4 Chevrolet Monte Carlo - 2003,Gen 4 Chevy MC,80,false,201
4081,Gen 4 Ford Taurus - 2003,Gen4 Ford Taurus,80,false,202
4082,Ferrari 296 Challenge,Ferrari 296 C,51,true,203
4083,NEC GT3 2025,NEC GT3 2025,52,true,132|133|156|169|173|176|185
4084,NEC GT4 2025,NEC GT4 2025,49,true,119|150|157|189
4085,NEC TCR 2025,NEC TCR 2025,45,true,146|147|210
4086,ARCA,ARCA,53,false,198|199|200
4087,NASCAR 2003 Gen 4,NASCAR Gen 4,80,false,201|202
4088,Ford Mustang GT4,Ford Mustang GT4,49,true,204
4089,Dallara IL15,Dallara IL15,105,true,205
4090,Aston Martin Vantage GT3 EVO,AMV GT3 EVO,52,true,206
4091,GT3 2025,GT3 2025,52,true,132|133|156|169|173|176|184|185|188|194|206
4092,FIA Cross Car,FIA Cross Car,100,false,207
4093,Porsche 911 Cup (992.2),Porsche 992.2,51,true,208
4095,Mountain Showdown Car Class,MountainShowdown,52,false,1|13|106|160|216
4096,Audi RS3 LMS Gen2 TCR,Audi RS3LMS G2,45,true,210
4097,NASCAR Truck Ram,NASCAR Ram,60,false,211
4098,NEC GT3 2026,NECGT3 2026,52,true,132|133|156|169|173|185|206
4099,NEC PCup 2026,NECPCup 2026,51,true,208
4100,NEC GT4 2026,NECGT4 2026,49,true,119|150|157|189
4101,NEC TCR 2026,NECTCR 2026,45,true,146|147|210
4102,NEC M2 Cup,NEC M2 Cup,42,true,216
4104,EURO NASCAR V8GP,EURO NASCAR V8GP,44,true,213
4105,Formula Vee - Sabre,FVee - Sabre,20,true,214
4106,Formula Vee - Conqueror,FVee - Conqueror,20,true,215
4107,Formula Vees - Base,Formula Vees,20,true,142|214|215
4108,BMW M2 Racing (G87),BMW M2 G87,41,true,216
4109,Crev GT3 2026,Crev GT3 2026,52,true,132|133|156|169|173|176|184|185|206
4110,Crev PCup 2026,Crev PCup 2026,51,true,208
4111,Crev GT4 2026,Crev GT4 2026,49,true,119|135|150|157|189|204
